ok  	github.com/boshu2/agentops/cli/cmd/ao	0.345s
ok  	github.com/boshu2/agentops/cli/internal/agentmail	0.501s
ok  	github.com/boshu2/agentops/cli/internal/config	0.641s
ok  	github.com/boshu2/agentops/cli/internal/context	1.062s
ok  	github.com/boshu2/agentops/cli/internal/formatter	0.929s
ok  	github.com/boshu2/agentops/cli/internal/parser	0.366s
ok  	github.com/boshu2/agentops/cli/internal/pool	1.382s
ok  	github.com/boshu2/agentops/cli/internal/provenance	1.621s
ok  	github.com/boshu2/agentops/cli/internal/ratchet	0.920s
ok  	github.com/boshu2/agentops/cli/internal/storage	1.495s
ok  	github.com/boshu2/agentops/cli/internal/taxonomy	1.199s
ok  	github.com/boshu2/agentops/cli/internal/types	1.745s
ok  	github.com/boshu2/agentops/cli/pkg/vault	1.480s
